product_id,product_name,category,price,supplier_id
1,Office Chair,Furniture,126.09,501
2,Coffee Maker,Home & Kitchen,457.09,502
3,Document Scanner,Electronics,267.33,503
4,Desk Mat,Accessories,418.5,504
5,Tablet Stand,Accessories,333.57,505
6,Drawer Unit,Furniture,484.11,506
7,Bath Towels,Home & Kitchen,263.63,507
8,External SSD,Electronics,332.06,508
9,Computer Speakers,Electronics,329.83,509
10,Gaming Keyboard,Electronics,343.86,510
11,Gaming Mouse Pad,Accessories,269.9,511
12,Rice Cooker,Home & Kitchen,270.79,512
13,Phone Grip,Accessories,506.05,513
14,Toaster Oven,Home & Kitchen,277.88,514
15,Laptop Stand,Accessories,400.76,515
16,Mechanical Keyboard,Electronics,214.75,516
17,Food Processor,Home & Kitchen,466.42,517
18,Monitor Stand,Furniture,281.67,518
19,Laptop Sleeve,Accessories,252.95,519
20,Wireless Mouse,Electronics,385.44,520
21,Power Strip,Electronics,232.78,521
22,Microphone,Electronics,400.6,522
23,Bookshelf,Furniture,313.15,523
24,Portable Charger,Accessories,402.73,524
25,Bluetooth Headphones,Electronics,284.97,525
26,Noise Cancelling Headset,Electronics,315.38,526
27,Smart Watch,Electronics,250.65,527
28,Cable Organizer,Accessories,204.35,528
29,Storage Containers,Home & Kitchen,892.54,529
30,Kitchen Blender,Home & Kitchen,324.58,530
31,Wall Clock,Home & Kitchen,475.29,531
32,Storage Shelf,Furniture,213.82,532
33,WiFi Router,Electronics,349.17,533
34,Air Purifier,Home & Kitchen,390.73,534
35,Smartphone Case,Accessories,142.79,535
36,Standing Desk,Furniture,385.36,536
37,Throw Pillows,Home & Kitchen,391.98,537
38,Wireless Charger,Electronics,286.98,538
39,Wireless Presenter,Electronics,416.01,539
40,USB-C Hub,Electronics,412.46,540
41,Wireless Earbuds,Electronics,168.18,541
42,Electric Kettle,Home & Kitchen,219.79,542
43,Desk Organizer,Accessories,376.95,543
44,Screen Protector,Accessories,378.14,544
45,Desk Lamp,Home & Kitchen,413.05,545
46,4K Monitor,Electronics,285.56,546
47,Water Bottle,Home & Kitchen,272.04,547
48,File Cabinet,Furniture,344.87,548
49,Webcam HD,Electronics,459.63,549
50,Keyboard Wrist Rest,Accessories,458.43,550
51,Office Chair,Furniture,439.16,551
52,Coffee Maker,Home & Kitchen,324.06,552
53,Document Scanner,Electronics,176.24,553
54,Desk Mat,Accessories,626.85,554
55,Tablet Stand,Accessories,336.38,555
56,Drawer Unit,Furniture,205.71,556
57,Bath Towels,Home & Kitchen,447.09,557
58,External SSD,Electronics,252.7,558
59,Computer Speakers,Electronics,278.28,559
60,Gaming Keyboard,Electronics,440.65,560
61,Gaming Mouse Pad,Accessories,448.4,561
62,Rice Cooker,Home & Kitchen,410.31,562
63,Phone Grip,Accessories,343.18,563
64,Toaster Oven,Home & Kitchen,323.63,564
65,Laptop Stand,Accessories,382.88,565
66,Mechanical Keyboard,Electronics,398.45,566
67,Food Processor,Home & Kitchen,262.58,567
68,Monitor Stand,Furniture,331.01,568
69,Laptop Sleeve,Accessories,189.33,569
70,Wireless Mouse,Electronics,398.08,570
71,Power Strip,Electronics,395.79,571
72,Microphone,Electronics,312.56,572
73,Bookshelf,Furniture,411.77,573
74,Portable Charger,Accessories,329.27,574
75,Bluetooth Headphones,Electronics,233.68,575
76,Noise Cancelling Headset,Electronics,330.55,576
77,Smart Watch,Electronics,224.7,577
78,Cable Organizer,Accessories,206.45,578
79,Storage Containers,Home & Kitchen,436.66,579
80,Kitchen Blender,Home & Kitchen,281.89,580
81,Wall Clock,Home & Kitchen,365.97,581
82,Storage Shelf,Furniture,441.69,582
83,WiFi Router,Electronics,236.63,583
84,Air Purifier,Home & Kitchen,347.89,584
85,Smartphone Case,Accessories,323.06,585
86,Standing Desk,Furniture,453.36,586
87,Throw Pillows,Home & Kitchen,276.81,587
88,Wireless Charger,Electronics,205.47,588
89,Wireless Presenter,Electronics,287.3,589
90,USB-C Hub,Electronics,298.57,590
91,Wireless Earbuds,Electronics,471.56,591
92,Electric Kettle,Home & Kitchen,211.55,592
93,Desk Organizer,Accessories,384.09,593
94,Screen Protector,Accessories,388.9,594
95,Desk Lamp,Home & Kitchen,584.56,595
96,4K Monitor,Electronics,309.95,596
97,Water Bottle,Home & Kitchen,180.81,597
98,File Cabinet,Furniture,379.97,598
99,Webcam HD,Electronics,365.73,599
100,Keyboard Wrist Rest,Accessories,402.25,600
101,Office Chair,Furniture,628.25,501
102,Coffee Maker,Home & Kitchen,338.27,502
103,Document Scanner,Electronics,379.65,503
104,Desk Mat,Accessories,396.94,504
105,Tablet Stand,Accessories,284.01,505
106,Drawer Unit,Furniture,362.12,506
107,Bath Towels,Home & Kitchen,352.44,507
108,External SSD,Electronics,246.31,508
109,Computer Speakers,Electronics,363.2,509
110,Gaming Keyboard,Electronics,322.25,510
111,Gaming Mouse Pad,Accessories,557.73,511
112,Rice Cooker,Home & Kitchen,432.44,512
113,Phone Grip,Accessories,510.93,513
114,Toaster Oven,Home & Kitchen,228.69,514
115,Laptop Stand,Accessories,361.9,515
116,Mechanical Keyboard,Electronics,352.57,516
117,Food Processor,Home & Kitchen,354.03,517
118,Monitor Stand,Furniture,349.58,518
119,Laptop Sleeve,Accessories,240.4,519
120,Wireless Mouse,Electronics,323.51,520
121,Power Strip,Electronics,489.61,521
122,Microphone,Electronics,397.53,522
123,Bookshelf,Furniture,488.75,523
124,Portable Charger,Accessories,566.44,524
125,Bluetooth Headphones,Electronics,483.26,525
126,Noise Cancelling Headset,Electronics,481.9,526
127,Smart Watch,Electronics,383.7,527
128,Cable Organizer,Accessories,284.81,528
129,Storage Containers,Home & Kitchen,161.47,529
130,Kitchen Blender,Home & Kitchen,428.36,530
131,Wall Clock,Home & Kitchen,352.33,531
132,Storage Shelf,Furniture,319.78,532
133,WiFi Router,Electronics,316.79,533
134,Air Purifier,Home & Kitchen,254.65,534
135,Smartphone Case,Accessories,506.33,535
