review_id,product_id,customer_id,rating,review_text
1,16,1516,4,"Customer service was excellent, product too."
2,1516,1516,4,"Customer service was excellent, product too."
3,1566,9066,1,Basic functionality but reliable.
4,66,9066,1,Basic functionality but reliable.
5,1522,1522,3,Better than similar products I have tried.
6,22,1522,3,Better than similar products I have tried.
7,1508,3008,2,"Fantastic, exactly what I needed."
8,8,3008,2,"Fantastic, exactly what I needed."
9,1560,60,1,Definitely recommend to others.
10,60,60,1,Definitely recommend to others.
11,12,7512,4,Could be better for the price point.
12,1512,7512,4,Could be better for the price point.
13,1521,21,2,Exactly what I was looking for.
14,21,21,2,Exactly what I was looking for.
15,10,7510,2,Very impressed with the build quality.
16,1510,7510,2,Very impressed with the build quality.
17,31,1531,2,"Not as described, slightly disappointed."
18,1531,1531,2,"Not as described, slightly disappointed."
19,37,4537,5,"Does the basics well, nothing fancy."
20,1537,4537,5,"Does the basics well, nothing fancy."
21,1550,7550,3,Outstanding quality and design.
22,50,7550,3,Outstanding quality and design.
23,75,1575,5,Could use some improvements.
24,1575,1575,5,Could use some improvements.
25,1522,9022,3,Better than similar products I have tried.
26,22,9022,3,Better than similar products I have tried.
27,25,1525,1,Decent product but overpriced.
28,1525,1525,1,Decent product but overpriced.
29,1530,7530,3,Absolutely love this product!
30,30,7530,3,Absolutely love this product!
31,1550,9050,3,Outstanding quality and design.
32,50,9050,3,Outstanding quality and design.
33,72,72,5,Really impressed with the quality.
34,1572,72,5,Really impressed with the quality.
35,1556,9056,1,Love the design and functionality.
36,56,9056,1,Love the design and functionality.
37,25,9025,1,Decent product but overpriced.
38,1525,9025,1,Decent product but overpriced.
39,1521,1521,2,Exactly what I was looking for.
40,21,1521,2,Exactly what I was looking for.
41,1520,7520,3,"Not worth the money, save your cash."
42,20,7520,3,"Not worth the money, save your cash."
43,1511,6011,4,"Shipping was fast, product works great!"
44,11,6011,4,"Shipping was fast, product works great!"
45,16,6016,4,"Customer service was excellent, product too."
46,1516,6016,4,"Customer service was excellent, product too."
47,1560,3060,1,Definitely recommend to others.
48,60,3060,1,Definitely recommend to others.
49,38,9038,4,Worth every penny spent.
50,1538,9038,4,Worth every penny spent.
51,24,7524,5,Would give it 6 stars if I could!
52,1524,7524,5,Would give it 6 stars if I could!
53,1567,3067,4,Impressive attention to detail.
54,67,3067,4,Impressive attention to detail.
55,7,7507,3,Amazing! Exceeded my expectations.
56,1507,7507,3,Amazing! Exceeded my expectations.
57,1544,7544,5,Minor issues but works as intended.
58,44,7544,5,Minor issues but works as intended.
59,9,9,2,"It is okay, does the job."
60,1509,9,2,"It is okay, does the job."
61,1533,1533,4,Good product but shipping took forever.
62,33,1533,4,Good product but shipping took forever.
63,37,3037,5,"Does the basics well, nothing fancy."
64,1537,3037,5,"Does the basics well, nothing fancy."
65,31,4531,2,"Not as described, slightly disappointed."
66,1531,4531,2,"Not as described, slightly disappointed."
67,1555,55,3,"Decent build quality, fair price."
68,55,55,3,"Decent build quality, fair price."
69,1533,7533,4,Good product but shipping took forever.
70,33,7533,4,Good product but shipping took forever.
71,27,4527,5,Had some issues but support was helpful.
72,1527,4527,5,Had some issues but support was helpful.
73,49,4549,1,"Not the best, but gets the job done."
74,1549,4549,1,"Not the best, but gets the job done."
75,1535,1535,4,Quality control needs improvement.
76,35,1535,4,Quality control needs improvement.
77,32,6032,5,"Functions perfectly, no issues so far."
78,1532,6032,5,"Functions perfectly, no issues so far."
79,79,7579,1,Would definitely buy again!
80,1579,7579,1,Would definitely buy again!
81,1560,6060,1,Definitely recommend to others.
82,60,6060,1,Definitely recommend to others.
83,1574,4574,2,"Fantastic product, fast shipping."
84,74,4574,2,"Fantastic product, fast shipping."
85,1520,6020,3,"Not worth the money, save your cash."
86,20,6020,3,"Not worth the money, save your cash."
87,1521,6021,2,Exactly what I was looking for.
88,21,6021,2,Exactly what I was looking for.
89,51,6051,1,Mixed feelings about this one.
90,1551,6051,1,Mixed feelings about this one.
91,1521,7521,2,Exactly what I was looking for.
92,21,7521,2,Exactly what I was looking for.
93,1519,19,5,"Works as advertised, no complaints."
94,19,19,5,"Works as advertised, no complaints."
95,47,1547,1,Perfect addition to my setup.
96,1547,1547,1,Perfect addition to my setup.
97,49,3049,1,"Not the best, but gets the job done."
98,1549,3049,1,"Not the best, but gets the job done."
99,70,3070,3,Met my expectations perfectly.
100,1570,3070,3,Met my expectations perfectly.
101,1562,4562,2,"Good product, slow delivery."
102,62,4562,2,"Good product, slow delivery."
103,1533,6033,4,Good product but shipping took forever.
104,33,6033,4,Good product but shipping took forever.
105,1545,9045,2,Exceeded my expectations completely.
106,45,9045,2,Exceeded my expectations completely.
107,38,6038,4,Worth every penny spent.
108,1538,6038,4,Worth every penny spent.
109,6,6006,1,"The item broke after a week, not happy."
110,1506,6006,1,"The item broke after a week, not happy."
111,1515,7515,3,"Lasted longer than expected, good purchase."
112,15,7515,3,"Lasted longer than expected, good purchase."
113,75,6075,5,Could use some improvements.
114,1575,6075,5,Could use some improvements.
115,1576,6076,3,"Great features, worth the wait."
116,76,6076,3,"Great features, worth the wait."
117,38,7538,4,Worth every penny spent.
118,1538,7538,4,Worth every penny spent.
119,1546,7546,2,"Just average, nothing remarkable."
120,46,7546,2,"Just average, nothing remarkable."
121,28,3028,1,"Solid construction, feels durable."
122,1528,3028,1,"Solid construction, feels durable."
123,3,7503,1,"Excellent quality, would buy again."
124,1503,7503,1,"Excellent quality, would buy again."
125,69,7569,1,Amazing value for the features.
126,1569,7569,1,Amazing value for the features.
127,24,24,5,Would give it 6 stars if I could!
128,1524,24,5,Would give it 6 stars if I could!
129,79,3079,1,Would definitely buy again!
130,1579,3079,1,Would definitely buy again!
131,1541,6041,3,Expected better quality materials.
132,41,6041,3,Expected better quality materials.
133,1526,4526,1,"Easy to use, great features."
134,26,4526,1,"Easy to use, great features."
135,1517,6017,5,Disappointed with the overall quality.
136,17,6017,5,Disappointed with the overall quality.
137,3,9003,1,"Excellent quality, would buy again."
138,1503,9003,1,"Excellent quality, would buy again."
139,1563,4563,4,Happy with the performance so far.
140,63,4563,4,Happy with the performance so far.
141,1517,17,5,Disappointed with the overall quality.
142,17,17,5,Disappointed with the overall quality.
143,1514,4514,2,"Average product, nothing special."
144,14,4514,2,"Average product, nothing special."
145,1545,45,2,Exceeded my expectations completely.
146,45,45,2,Exceeded my expectations completely.
147,1501,7501,4,"Great product, very satisfied!"
148,1,7501,4,"Great product, very satisfied!"
149,40,7540,2,Impressive features for the price.
150,1540,7540,2,Impressive features for the price.
151,1562,1562,2,"Good product, slow delivery."
152,62,1562,2,"Good product, slow delivery."
153,64,4564,2,Not quite what I was hoping for.
154,1564,4564,2,Not quite what I was hoping for.
155,28,1528,1,"Solid construction, feels durable."
156,1528,1528,1,"Solid construction, feels durable."
157,34,9034,4,Really happy with this purchase.
158,1534,9034,4,Really happy with this purchase.
159,1511,11,4,"Shipping was fast, product works great!"
160,11,11,4,"Shipping was fast, product works great!"
161,31,3031,2,"Not as described, slightly disappointed."
162,1531,3031,2,"Not as described, slightly disappointed."
163,78,9078,1,Good quality but instructions unclear.
164,1578,9078,1,Good quality but instructions unclear.
165,1548,4548,4,Wish I had bought this sooner!
166,48,4548,4,Wish I had bought this sooner!
167,71,4571,5,Solid product despite minor flaws.
168,1571,4571,5,Solid product despite minor flaws.
169,1501,3001,4,"Great product, very satisfied!"
170,1,3001,4,"Great product, very satisfied!"
171,16,9016,4,"Customer service was excellent, product too."
172,1516,9016,4,"Customer service was excellent, product too."
173,1573,1573,5,Works well but expensive for what it is.
174,73,1573,5,Works well but expensive for what it is.
175,75,9075,5,Could use some improvements.
176,1575,9075,5,Could use some improvements.
